idx,site,xseq_lb,xseq_ub,yseq_lb,yseq_ub
430,SOAP,292701.55,292845.55,4108460.139,4108604.139
431,SOAP,292701.55,292845.55,4108556.139,4108700.139
432,SOAP,292701.55,292845.55,4108652.139,4108796.139
433,SOAP,292701.55,292845.55,4108748.139,4108892.139
434,SOAP,292701.55,292845.55,4108844.139,4108988.139
435,SOAP,292701.55,292845.55,4108940.139,4109084.139
436,SOAP,292701.55,292845.55,4109036.139,4109180.139
437,SOAP,292701.55,292845.55,4109132.139,4109276.139
438,SOAP,292701.55,292845.55,4109228.139,4109372.139
439,SOAP,292797.55,292941.55,4095308.139,4095452.139
440,SOAP,292797.55,292941.55,4095404.139,4095548.139
441,SOAP,292797.55,292941.55,4095500.139,4095644.139
442,SOAP,292797.55,292941.55,4095596.139,4095740.139
443,SOAP,292797.55,292941.55,4095692.139,4095836.139
444,SOAP,292797.55,292941.55,4095788.139,4095932.139
445,SOAP,292797.55,292941.55,4095884.139,4096028.139
446,SOAP,292797.55,292941.55,4095980.139,4096124.139
447,SOAP,292797.55,292941.55,4096076.139,4096220.139
448,SOAP,292797.55,292941.55,4096172.139,4096316.139
449,SOAP,292797.55,292941.55,4096268.139,4096412.139
450,SOAP,292797.55,292941.55,4096364.139,4096508.139
451,SOAP,292797.55,292941.55,4096460.139,4096604.139
452,SOAP,292797.55,292941.55,4096556.139,4096700.139
453,SOAP,292797.55,292941.55,4096652.139,4096796.139
454,SOAP,292797.55,292941.55,4096748.139,4096892.139
455,SOAP,292797.55,292941.55,4096844.139,4096988.139
456,SOAP,292797.55,292941.55,4096940.139,4097084.139
457,SOAP,292797.55,292941.55,4097036.139,4097180.139
458,SOAP,292797.55,292941.55,4097132.139,4097276.139
459,SOAP,292797.55,292941.55,4097228.139,4097372.139
460,SOAP,292797.55,292941.55,4097324.139,4097468.139
461,SOAP,292797.55,292941.55,4097420.139,4097564.139
462,SOAP,292797.55,292941.55,4097516.139,4097660.139
463,SOAP,292797.55,292941.55,4097612.139,4097756.139
464,SOAP,292797.55,292941.55,4097708.139,4097852.139
465,SOAP,292797.55,292941.55,4097804.139,4097948.139
466,SOAP,292797.55,292941.55,4097900.139,4098044.139
467,SOAP,292797.55,292941.55,4097996.139,4098140.139
468,SOAP,292797.55,292941.55,4098092.139,4098236.139
469,SOAP,292797.55,292941.55,4098188.139,4098332.139
470,SOAP,292797.55,292941.55,4098284.139,4098428.139
471,SOAP,292797.55,292941.55,4098380.139,4098524.139
472,SOAP,292797.55,292941.55,4098476.139,4098620.139
473,SOAP,292797.55,292941.55,4098572.139,4098716.139
474,SOAP,292797.55,292941.55,4098668.139,4098812.139
475,SOAP,292797.55,292941.55,4098764.139,4098908.139
476,SOAP,292797.55,292941.55,4098860.139,4099004.139
477,SOAP,292797.55,292941.55,4098956.139,4099100.139
478,SOAP,292797.55,292941.55,4099052.139,4099196.139
479,SOAP,292797.55,292941.55,4099148.139,4099292.139
